Product,Issue,Company,State,ZIP code,Complaint ID
credit reporting credit repair services personal consumer reports,incorrect information report,national credit adjusters llc,SC,29681,3217510
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,LA,70438,3217571
credit reporting credit repair services personal consumer reports,incorrect information report,enova international inc,CA,91316,3217755
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NC,283XX,3217531
credit card prepaid card,problem purchase shown statement,united services automobile association,CA,914XX,3217420
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,90019,3216855
debt collection,attempts collect debt owed,erc,CA,91316,3217754
debt collection,attempts collect debt owed,credence resource management llc,VA,22207,3217134
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NY,11368,3217861
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,91201,3217032
mortgage,struggling pay mortgage,freedom mortgage company,GA,306XX,3217416
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,IL,606XX,3217020
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,SC,294XX,3217779
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,90631,3216959
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,TX,782XX,3217080
mortgage,trouble payment process,ocwen loan servicing llc,MA,01002,3217824
credit reporting credit repair services personal consumer reports,improper use report,wells fargo  company,OK,731XX,3217806
money transfer virtual currency money service,fraud scam,paypal holdings inc,OH,440XX,3216963
credit reporting credit repair services personal consumer reports,improper use report,citibank na,SC,29681,3217652
debt collection,attempts collect debt owed,allianceone recievables management,FL,33127,3217461
mortgage,trouble payment process,wells fargo  company,MA,01915,3217257
debt collection,attempts collect debt owed,mrs bpo llc,CO,80130,3217564
credit card prepaid card,getting credit card,synchrony financial,TX,770XX,3217770
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MI,48038,3217228
mortgage,trouble payment process,united shore financial services llc,NY,146XX,3217158
credit reporting credit repair services personal consumer reports,incorrect information report,choice recovery inc,FL,33162,3217615
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,91316,3217758
mortgage,trouble payment process,fay servicing llc,FL,33317,3217711
debt collection,communication tactics,simmons first national corporation,GA,315XX,3217197
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TX,75050,3217610
mortgage,trouble payment process,ditech financial llc,TX,760XX,3217312
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,IL,601XX,3216969
debt collection,written notification debt,united services automobile association,GA,30349,3217231
credit reporting credit repair services personal consumer reports,incorrect information report,professional debt mediation inc,GA,302XX,3217879
debt collection,written notification debt,fc holdco llc,GA,30349,3217089
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,333XX,3217055
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,303XX,3217038
credit reporting credit repair services personal consumer reports,incorrect information report,td bank us holding company,IL,60106,3217449
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,TX,786XX,3217521
mortgage,trouble payment process,arvest bank group inc,WA,988XX,3217007
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,SC,294XX,3216849
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,92506,3216941
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,303XX,3217037
credit card prepaid card,improper use report,discover bank,GA,302XX,3217320
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,TX,782XX,3217079
student loan,dealing lender servicer,citizens financial group inc,NY,122XX,3217192
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NY,10467,3216997
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,92264,3217897
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,OH,430XX,3216870
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,300XX,3216921
mortgage,struggling pay mortgage,wells fargo  company,IL,606XX,3218547
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,barclays bank delaware,TN,379XX,3216909
credit card prepaid card,problem purchase shown statement,bank of america national association,AZ,85747,3218521
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,synchrony financial,PA,15068,3217060
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,LA,708XX,3217854
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,prestige financial services inc,CA,94565,3217750
debt collection,attempts collect debt owed,pdq services inc,IL,60621,3217497
mortgage,trouble payment process,ocwen loan servicing llc,LA,70065,3217614
debt collection,attempts collect debt owed,professional bureau collections maryland inc,CA,953XX,3217159
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,900XX,3216890
credit reporting credit repair services personal consumer reports,unable get credit report credit score,credit karma inc,NC,270XX,3217182
credit reporting credit repair services personal consumer reports,improper use report,santander consumer usa holdings inc,GA,30349,3217040
credit reporting credit repair services personal consumer reports,improper use report,clarity services,SC,290XX,3217487
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,georgia student finance authority,GA,314XX,3217277
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,VA,232XX,3215852
debt collection,false statements representation,the outsource group inc,SC,294XX,3217878
mortgage,trouble payment process,specialized loan servicing llc,WI,53218,3218535
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,770XX,3217104
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,VA,232XX,3215851
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MA,02301,3217894
vehicle loan lease,getting loan lease,santander consumer usa holdings inc,MO,640XX,3217585
mortgage,trouble payment process,flagstar bank fsb,TX,761XX,3217567
student loan,problem credit reporting companys investigation existing problem,aespheaa,AL,36695,3217221
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,UT,841XX,3217353
mortgage,trouble payment process,ditech financial llc,IL,60628,3217054
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,synchrony financial,CA,920XX,3217532
debt collection,attempts collect debt owed,cmre financial services inc,CA,921XX,3217515
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,33804,3217314
debt collection,attempts collect debt owed,pnc bank na,FL,33157,3217583
debt collection,attempts collect debt owed,afni inc,FL,32780,3217189
debt collection,false statements representation,wells fargo  company,IN,467XX,3217823
debt collection,written notification debt,waypoint resource group llc,MI,482XX,3217556
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,32962,3217640
credit card prepaid card,advertising marketing including promotional offers,american express company,FL,331XX,3217796
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,DC,20019,3217368
credit card prepaid card,problem making payments,bank of america national association,PA,19150,3217475
credit card prepaid card,problem purchase shown statement,capital one financial corporation,FL,32940,3218795
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NV,894XX,3217307
debt collection,attempts collect debt owed,encore capital group inc,CA,90019,3216852
credit card prepaid card,problem making payments,barclays bank delaware,IN,46074,3217589
credit reporting credit repair services personal consumer reports,problem companys investigation existing issue,experian information solutions inc,TX,752XX,3217554
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,OH,430XX,3216878
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,WI,54935,3217593
debt collection,threatened contact someone share information improperly,united recovery solutions,TX,774XX,3217749
credit reporting credit repair services personal consumer reports,incorrect information report,lexisnexis,MN,554XX,3217108
credit card prepaid card,problem purchase transfer,american express company,AZ,850XX,3216960
mortgage,struggling pay mortgage,specialized loan servicing llc,NJ,07062,3217735
debt collection,communication tactics,portfolio recovery associates inc,CA,945XX,3217604
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,PA,17603,3216973
debt collection,took threatened take negative legal action,simon’s agency inc,NJ,074XX,3217732
checking savings account,managing account,citibank na,NC,277XX,3217181
payday loan title loan personal loan,problem payoff process end loan,credit services corporation llc,NC,282XX,3217452
credit card prepaid card,problem purchase shown statement,regions financial corporation,FL,337XX,3217684
student loan,getting loan,equifax inc,FL,33313,3216894
credit card prepaid card,problem purchase shown statement,capital one financial corporation,FL,33319,3217590
debt collection,took threatened take negative legal action,local management llc,AL,368XX,3217271
credit card prepaid card,fees interest,first national bank of omaha,GA,303XX,3217533
student loan,dealing lender servicer,navient solutions llc,MA,021XX,3216931
credit reporting credit repair services personal consumer reports,incorrect information report,ic system inc,AL,360XX,3217117
checking savings account,managing account,pnc bank na,NJ,08062,3218528
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,VA,23156,3217599
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NJ,07726,3217358
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NY,11418,3217424
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NC,270XX,3217110
debt collection,communication tactics,messerli  kramer pa,WI,54401,3217618
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TX,77407,3217520
credit card prepaid card,other features terms problems,united services automobile association,CA,95209,3216887
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3217559
debt collection,written notification debt,rushmore loan management services llc,FL,335XX,3217536
debt collection,false statements representation,coast professional inc,PA,151XX,3217555
debt collection,took threatened take negative legal action,portfolio recovery associates inc,NY,104XX,3217724
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NJ,070XX,3217491
debt collection,attempts collect debt owed,rushmore loan management services llc,FL,329XX,3217795
credit reporting credit repair services personal consumer reports,incorrect information report,receivables performance management llc,AL,357XX,3217435
debt collection,written notification debt,ad astra recovery services inc,CA,920XX,3217805
checking savings account,opening account,jpmorgan chase  co,NY,10457,3216851
mortgage,struggling pay mortgage,ditech financial llc,VA,23887,3217485
credit reporting credit repair services personal consumer reports,incorrect information report,american express company,CA,953XX,3217249
mortgage,struggling pay mortgage,keycorp,CT,06489,3217266
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,750XX,3216991
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,IL,601XX,3216971
mortgage,trouble payment process,specialized loan servicing llc,AZ,85024,3217763
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,92264,3217900
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,GA,300XX,3215860
mortgage,struggling pay mortgage,real time resolutions inc,CA,917XX,3217254
debt collection,attempts collect debt owed,northstar location services llc,CA,902XX,3217425
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,PA,17603,3216972
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,GA,30044,3216858
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MA,02301,3217896
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,WA,980XX,3217329
debt collection,false statements representation,national credit systemsinc,NV,891XX,3217272
checking savings account,managing account,mt bank corporation,DE,19904,3217467
debt collection,took threatened take negative legal action,capital one financial corporation,CA,921XX,3215855
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,IL,60639,3217393
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,TX,75505,3217115
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,GA,300XX,3216926
credit card prepaid card,other features terms problems,us bancorp,CO,80907,3217836
checking savings account,managing account,suntrust banks inc,NC,28352,3218527
credit reporting credit repair services personal consumer reports,incorrect information report,capital management services lp,OH,44146,3217546
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30233,3217893
checking savings account,managing account,bank of america national association,CA,90026,3218518
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33417,3217154
debt collection,attempts collect debt owed,citibank na,CA,91316,3217756
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,322XX,3217064
checking savings account,managing account,wells fargo  company,FL,32118,3217713
debt collection,false statements representation,mandarich law group llp,MI,483XX,3217502
mortgage,trouble payment process,nationstar mortgage,IA,50265,3219864
money transfer virtual currency money service,fraud scam,square inc,NJ,073XX,3217565
checking savings account,managing account,bank of america national association,NV,895XX,3217855
mortgage,applying mortgage refinancing existing mortgage,bank of america national association,TX,787XX,3217579
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NY,113XX,3217339
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,TX,786XX,3217015
checking savings account,opening account,bank of america national association,CA,92503,3218546
mortgage,trouble payment process,ditech financial llc,FL,32738,3217781
debt collection,false statements representation,portfolio recovery associates inc,GA,313XX,3217817
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NJ,07726,3217361
credit reporting credit repair services personal consumer reports,improper use report,capital one financial corporation,SC,290XX,3217715
credit reporting credit repair services personal consumer reports,improper use report,capital one financial corporation,PA,180XX,3216962
student loan,dealing lender servicer,discover bank,MI,480XX,3217478
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,90723,3217081
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,300XX,3216920
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NY,11418,3217402
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MD,21117,3217366
credit reporting credit repair services personal consumer reports,improper use report,home loan center inc,VA,234XX,3216993
credit card prepaid card,fees interest,wells fargo  company,CO,802XX,3216889
credit card prepaid card,other features terms problems,citibank na,VA,22151,3217539
credit reporting credit repair services personal consumer reports,incorrect information report,general motors financial company inc,CA,945XX,3217903
debt collection,attempts collect debt owed,ascension point recovery services llc,TX,78641,3217549
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,PA,19133,3216999
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NC,282XX,3216884
mortgage,trouble payment process,nationstar mortgage,MD,20769,3217843
credit reporting credit repair services personal consumer reports,incorrect information report,lexisnexis,OH,430XX,3217144
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,LA,70438,3217570
credit reporting credit repair services personal consumer reports,incorrect information report,conns inc,TX,75050,3217608
debt collection,written notification debt,united services automobile association,GA,30349,3215895
checking savings account,managing account,td bank us holding company,NY,11691,3217190
credit reporting credit repair services personal consumer reports,incorrect information report,toyota motor credit corporation,CA,90019,3216854
checking savings account,problem caused funds low,united services automobile association,AL,36330,3217239
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,90047,3217626
debt collection,attempts collect debt owed,discover bank,MI,482XX,3217229
credit reporting credit repair services personal consumer reports,incorrect information report,fidelity national information services inc fnis,CA,941XX,3217387
mortgage,struggling pay mortgage,specialized loan servicing llc,PA,19607,3217743
credit reporting credit repair services personal consumer reports,incorrect information report,convergent resources inc,AL,357XX,3217480
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30328,3217148
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,ID,83814,3217338
credit card prepaid card,closing account,american express company,MN,550XX,3217488
checking savings account,managing account,capital one financial corporation,CA,93010,3217728
debt collection,attempts collect debt owed,equifax inc,TX,77020,3217561
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,credit karma inc,TN,379XX,3216915
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,MD,20815,3217411
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,VA,236XX,3217871
credit card prepaid card,problem purchase shown statement,barclays bank delaware,GA,300XX,3217524
credit card prepaid card,problem purchase shown statement,united services automobile association,FL,34684,3217534
credit reporting credit repair services personal consumer reports,incorrect information report,alliance data card services,NY,140XX,3217152
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,LA,700XX,3216900
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,equifax inc,FL,322XX,3217204
mortgage,trouble payment process,home point financial corporation,MO,640XX,3217530
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,IL,60435,3217123
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,VA,223XX,3217216
debt collection,written notification debt,global portfolio recovery llc,TX,77044,3216919
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,VA,226XX,3217263
credit reporting credit repair services personal consumer reports,improper use report,jpmorgan chase  co,GA,30349,3217124
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MD,21117,3217305
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30014,3217898
credit reporting credit repair services personal consumer reports,improper use report,santander consumer usa holdings inc,LA,700XX,3216953
credit reporting credit repair services personal consumer reports,improper use report,bridgecrest acceptance corporation,GA,30349,3217611
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,30233,3217891
vehicle loan lease,struggling pay loan,jpmorgan chase  co,DE,197XX,3217666
debt collection,attempts collect debt owed,td bank us holding company,TX,774XX,3217226
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,945XX,3216897
payday loan title loan personal loan,problem making payments,synchrony financial,LA,70726,3217286
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NY,11210,3217405
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,PA,17603,3216975
checking savings account,managing account,jpmorgan chase  co,MI,498XX,3217495
checking savings account,managing account,bank of america national association,CA,953XX,3217454
checking savings account,problem lender company charging account,bank of america national association,CA,945XX,3216871
checking savings account,managing account,jpmorgan chase  co,NY,10031,3218531
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,OH,432XX,3217025
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NJ,07726,3217360
mortgage,applying mortgage refinancing existing mortgage,quicken loans inc,FL,33647,3217343
checking savings account,managing account,wells fargo  company,CA,90029,3217827
debt collection,attempts collect debt owed,encore capital group inc,TX,751XX,3217382
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,782XX,3217086
credit card prepaid card,advertising marketing including promotional offers,wells fargo  company,CA,917XX,3217818
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,786XX,3217550
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,synchrony financial,FL,334XX,3217289
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,GA,30233,3217164
debt collection,written notification debt,allianceone recievables management,CA,92020,3216987
credit reporting credit repair services personal consumer reports,unable get credit report credit score,experian information solutions inc,IL,605XX,3217328
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,33334,3217517
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,606XX,3217018
debt collection,took threatened take negative legal action,resurgent capital services lp,NJ,08021,3216988
credit card prepaid card,closing account,synchrony financial,FL,334XX,3217210
credit reporting credit repair services personal consumer reports,improper use report,td bank us holding company,SC,29681,3217506
debt collection,took threatened take negative legal action,nationstar mortgage,CT,06606,3217529
checking savings account,managing account,regions financial corporation,IL,62208,3218543
mortgage,trouble payment process,rushmore loan management services llc,FL,32835,3217490
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,900XX,3217046
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,equifax inc,NC,28348,3217560
debt collection,written notification debt,discover bank,GA,30349,3215861
payday loan title loan personal loan,problem making payments,1st franklin financial corporation,AL,35215,3217017
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,303XX,3216845
student loan,dealing lender servicer,aespheaa,IL,60608,3217867
credit reporting credit repair services personal consumer reports,incorrect information report,cl holdings llc,AL,360XX,3217096
payday loan title loan personal loan,getting loan,suntrust banks inc,CA,917XX,3217174
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,900XX,3216888
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,VA,232XX,3215853
credit card prepaid card,problem purchase shown statement,barclays bank delaware,NY,11101,3218520
checking savings account,managing account,us bancorp,WA,98258,3218536
mortgage,trouble payment process,wells fargo  company,TX,75703,3217568
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,LA,700XX,3217516
debt collection,written notification debt,trident asset management llc,WA,98109,3217088
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,PA,15005,3217113
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,11373,3217100
debt collection,attempts collect debt owed,avante,WI,532XX,3217141
credit card prepaid card,getting credit card,jpmorgan chase  co,IL,60073,3218134
vehicle loan lease,managing loan lease,jpmorgan chase  co,NJ,07203,3217625
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,333XX,3217057
credit card prepaid card,fees interest,capital one financial corporation,VA,22041,3217574
credit card prepaid card,unexpected fees,comerica,IL,60501,3217808
debt collection,written notification debt,ditech financial llc,MO,630XX,3217313
debt collection,attempts collect debt owed,cavalry investments llc,VA,230XX,3217726
credit reporting credit repair services personal consumer reports,improper use report,barclays bank delaware,GA,30349,3217093
money transfer virtual currency money service,problem adding money,coinbase inc,CA,92116,3218542
debt collection,attempts collect debt owed,synchrony financial,CA,95503,3217415
student loan,problem credit reporting companys investigation existing problem,navient solutions llc,FL,342XX,3216892
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,786XX,3217016
debt collection,attempts collect debt owed,transunion intermediate holdings inc,TX,77020,3217566
credit card prepaid card,problem purchase shown statement,citizens financial group inc,RI,02914,3216989
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,MA,02301,3217892
vehicle loan lease,struggling pay loan,go capital holdings llc,FL,32835,3217261
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,32962,3217635
money transfer virtual currency money service,fraud scam,bank of america national association,GA,303XX,3216875
money transfer virtual currency money service,other transaction problem,schoolsfirst federal credit union,CA,92647,3217471
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,MI,483XX,3217034
credit card prepaid card,advertising marketing including promotional offers,citibank na,MA,02131,3217403
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NY,113XX,3217341
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,91316,3217759
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,SC,294XX,3217778
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,OH,432XX,3217024
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,equifax inc,CA,925XX,3217650
credit reporting credit repair services personal consumer reports,incorrect information report,microbilt  prbc formerly cl verify,CA,921XX,3217702
mortgage,trouble payment process,ocwen loan servicing llc,NY,10037,3217792
debt collection,attempts collect debt owed,uptain group inc,FL,325XX,3217309
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,VA,23223,3217722
student loan,dealing lender servicer,nelnet inc,CA,95135,3217607
credit card prepaid card,other features terms problems,first national bank of omaha,IL,60630,3217803
credit card prepaid card,trouble using card,citibank na,TX,750XX,3217777
debt collection,written notification debt,financial credit network inc,CA,90660,3217880
student loan,dealing lender servicer,navient solutions llc,PA,17055,3217436
debt collection,took threatened take negative legal action,experian information solutions inc,CA,92104,3217766
credit reporting credit repair services personal consumer reports,improper use report,wells fargo  company,GA,30349,3217194
debt collection,false statements representation,ic system inc,GA,302XX,3216967
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,equifax inc,NY,11218,3217881
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,92672,3217259
credit reporting credit repair services personal consumer reports,incorrect information report,vw credit,CA,902XX,3217377
checking savings account,managing account,citibank na,NY,11413,3218544
debt collection,attempts collect debt owed,hunter warfield inc,AZ,85335,3216981
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,UT,841XX,3217352
mortgage,trouble payment process,wells fargo  company,MN,554XX,3217330
checking savings account,managing account,regions financial corporation,TN,37311,3218523
credit card prepaid card,advertising marketing including promotional offers,citibank na,TN,376XX,3217375
mortgage,trouble payment process,fci lender services inc,TX,76244,3217729
debt collection,attempts collect debt owed,southwest credit systems lp,CA,90404,3217378
credit reporting credit repair services personal consumer reports,improper use report,us bancorp,OK,731XX,3217852
credit card prepaid card,other features terms problems,bank of america national association,NJ,086XX,3217453
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,GA,300XX,3217185
credit reporting credit repair services personal consumer reports,improper use report,synchrony financial,WI,54935,3217592
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30034,3216826
debt collection,threatened contact someone share information improperly,admin recovery llc,MA,010XX,3217326
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,750XX,3217021
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,33417,3217155
mortgage,trouble payment process,shellpoint partners llc,CA,900XX,3217429
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,330XX,3217390
mortgage,struggling pay mortgage,td bank us holding company,DE,197XX,3217306
credit reporting credit repair services personal consumer reports,incorrect information report,general motors financial company inc,OH,44146,3217303
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,IL,604XX,3217688
credit card prepaid card,trouble using card,blackhawk network holdings inc,CA,927XX,3217700
debt collection,took threatened take negative legal action,resurgent capital services lp,FL,333XX,3217835
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,LA,700XX,3216929
debt collection,communication tactics,iq data international inc,FL,32835,3217887
vehicle loan lease,managing loan lease,capital one financial corporation,CA,90031,3217327
mortgage,applying mortgage refinancing existing mortgage,ocwen loan servicing llc,CA,90013,3218526
debt collection,attempts collect debt owed,discover bank,MI,482XX,3217212
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,322XX,3217067
student loan,dealing lender servicer,aespheaa,MI,481XX,3217474
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,IL,601XX,3216982
debt collection,threatened contact someone share information improperly,national credit systemsinc,GA,30019,3217255
debt collection,communication tactics,convergent resources inc,OH,432XX,3217504
vehicle loan lease,problem credit reporting companys investigation existing problem,santander consumer usa holdings inc,IL,606XX,3217122
checking savings account,opening account,citibank na,NC,282XX,3217335
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,FL,338XX,3217165
checking savings account,managing account,jpmorgan chase  co,MI,481XX,3217351
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,900XX,3216891
checking savings account,managing account,citizens financial group inc,OH,44313,3217816
checking savings account,managing account,wells fargo  company,CA,91606,3217661
debt collection,communication tactics,valentine kebartas inc,CA,953XX,3217483
credit card prepaid card,fees interest,barclays bank delaware,OR,972XX,3217623
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,FL,33411,3217167
debt collection,written notification debt,first data corporation,MD,207XX,3216403
vehicle loan lease,managing loan lease,mt bank corporation,IN,46268,3217336
credit card prepaid card,problem purchase shown statement,us bancorp,ND,58503,3216467
credit reporting credit repair services personal consumer reports,problem companys investigation existing issue,checkr inc,NY,10520,3215818
debt collection,written notification debt,diversified consultants inc,CA,933XX,3216511
